Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time (seconds),Moving Time (seconds),Distance (meters),Max Speed,Average Speed,Elevation Gain (meters),Calories,Average Temperature
14665389799,"Mar 27, 2025, 8:35:48 PM",Afternoon Ride,Ride,10505,9388.0,24367.0,10.383333206176800,2.5955474376678500,700.82275390625,2812.0,19.0
14665389820,"Apr 4, 2025, 8:03:43 PM",Afternoon Ride,Ride,9726,7397.0,16337.900390625,6.739999771118160,2.2087197303772000,476.4140930175780,2357.0,10.0
14665389951,"Mar 23, 2025, 7:23:29 PM",Lunch Ride,Ride,3634,2760.0,8382.5,7.483333110809330,3.037137746810910,161.34524536132800,968.0,22.0
14665389960,"Mar 9, 2025, 8:05:52 PM",Afternoon Ride,Ride,5176,4356.0,13610.2998046875,8.566666603088380,3.124495029449460,199.58563232421900,1437.0,21.0
14665389974,"Mar 10, 2025, 9:08:15 PM",Afternoon Ride,Ride,8814,8097.0,21899.099609375,8.800000190734860,2.704594373703000,555.0368041992190,2307.0,18.0
14665389976,"Mar 22, 2025, 6:02:52 PM",Lunch Ride,Ride,6304,5429.0,13738.2001953125,8.779999732971190,2.5305213928222700,377.59857177734400,1651.0,20.0
14665389978,"Mar 8, 2025, 10:12:12 PM",Afternoon Ride,Ride,10878,9416.0,24269.19921875,10.279999732971200,2.5774426460266100,702.8616943359380,2850.0,16.0
14665389981,"Mar 15, 2025, 9:00:37 PM",Afternoon Ride,Ride,4918,4375.0,10237.099609375,8.633333206176760,2.3399085998535200,293.8132019042970,1242.0,17.0
14665389999,"Mar 5, 2025, 9:38:01 PM",Afternoon Ride,Ride,7594,6763.0,20716.0,11.140000343322800,3.0631377696991000,547.3790283203130,2045.0,16.0
14665390005,"Feb 26, 2025, 10:26:25 PM",Afternoon Ride,Ride,3826,2107.0,6840.7998046875,10.180000305175800,3.24670147895813,144.0914306640630,1390.0,25.0
14665390019,"Mar 1, 2025, 7:18:28 PM",Lunch Ride,Ride,7428,6643.0,17133.099609375,8.15999984741211,2.5791208744049100,444.804931640625,1923.0,13.0
14665390028,"Mar 2, 2025, 7:11:08 PM",Lunch Ride,E-Bike Ride,12433,10007.0,28156.0,10.039999961853000,2.8136303424835200,694.23095703125,3569.0,15.0
14665390042,"Mar 4, 2025, 8:37:11 PM",Lunch Ride,Ride,11262,9378.0,28593.69921875,10.760000228881800,3.0490190982818600,615.9981079101560,3156.0,17.0
14665390045,"Mar 16, 2025, 5:13:27 PM",Morning Ride,Ride,2498,1598.0,6349.89990234375,7.659999847412110,3.9736545085907000,32.71976089477540,4163.0,13.0
14665390118,"Feb 24, 2025, 6:19:21 PM",Morning Ride,Ride,5580,4449.0,17345.0,7.340000152587890,3.8986289501190200,244.19082641601600,1750.0,17.0
14665390126,"Feb 1, 2025, 5:31:49 PM",Morning Ride,Ride,3948,3451.0,10522.5,11.399999618530300,3.0491161346435500,316.88214111328100,1107.0,15.0
14665390133,"Feb 22, 2025, 5:07:29 PM",Morning Ride,Ride,8570,5437.0,19039.80078125,8.75,3.501894474029540,333.78839111328100,2428.0,20.0
14665390155,"Feb 2, 2025, 5:31:58 PM",Morning Ride,Ride,8959,7529.0,26195.19921875,13.116666793823200,3.4792401790618900,470.9383239746090,2723.0,18.0
14665390162,"Feb 5, 2025, 9:30:10 PM",Afternoon Ride,Ride,7786,6689.0,19360.19921875,9.166666984558110,2.894334077835080,505.2376708984380,2081.0,18.0
14665390180,"Feb 9, 2025, 6:31:52 PM",Morning Ride,Ride,14970,13812.0,39417.5,11.016666412353500,2.8538589477539100,940.143798828125,4045.0,19.0
14665390183,"Jan 25, 2025, 5:56:10 PM",Morning Ride,Ride,9143,8030.0,24223.0,8.300000190734860,3.0165629386901900,466.2037658691410,2523.0,14.0
14665390184,"Feb 10, 2025, 10:34:18 PM",Afternoon Ride,Ride,8567,7776.0,21891.900390625,11.45714282989500,2.8153164386749300,547.8256225585940,2273.0,14.0
14665400114,"Jan 23, 2025, 11:25:04 PM",Afternoon Ride,Ride,5745,5512.0,16872.80078125,11.0,3.061103105545040,430.2657165527340,1672.0,19.0
14665400123,"Jan 18, 2025, 7:59:32 PM",Lunch Ride,Ride,4838,3805.0,11669.599609375,7.383333206176760,3.0669119358062700,219.27999877929700,1344.0,15.0
14665400146,"Jan 12, 2025, 5:43:02 PM",Morning Ride,Ride,8713,7840.0,22048.19921875,11.333333015441900,2.812270402908330,590.9075927734380,2313.0,16.0
14665400155,"Jan 11, 2025, 7:33:24 PM",Lunch Ride,Ride,7202,6894.0,20883.400390625,11.600000381469700,3.0292139053344700,547.1699829101560,2653.0,18.0
14665400183,"Jan 20, 2025, 8:05:27 PM",Lunch Ride,Ride,7783,7040.0,21272.5,9.350000381469730,3.0216619968414300,486.4383239746090,2309.0,18.0
14665400331,"Jan 5, 2025, 5:05:39 PM",Morning Ride,Ride,8541,6788.0,24150.30078125,8.5,3.557793140411380,438.32232666015600,2514.0,10.0
14665400334,"Dec 28, 2024, 10:25:36 PM",Afternoon Ride,Ride,7504,6623.0,18147.5,8.833333015441900,2.74007248878479,490.086181640625,2106.0,18.0
14665400339,"Dec 20, 2024, 4:54:13 PM",Morning Ride,Ride,3390,3225.0,10938.599609375,10.079999923706100,3.3918139934539800,223.5274658203130,1004.0,17.0
14665400341,"Jan 2, 2025, 8:51:46 PM",Lunch Ride,Ride,9720,8682.0,23108.900390625,9.933333396911620,2.6617023944854700,656.899658203125,2519.0,23.0
14665400343,"Dec 22, 2024, 5:34:33 PM",Morning Ride,Ride,5788,5205.0,13700.7998046875,8.383333206176760,2.6322381496429400,380.00048828125,1583.0,16.0
14665400344,"Dec 31, 2024, 9:51:43 PM",Afternoon Ride,Ride,5330,4537.0,10293.900390625,7.366666793823240,2.268878221511840,391.26666259765600,1362.0,17.0
14665400364,"Dec 29, 2024, 6:47:05 PM",Morning Ride,Ride,10228,9061.0,26913.599609375,8.030769348144530,2.9702682495117200,573.9793090820310,2892.0,18.0
14665400366,"Dec 24, 2024, 7:08:08 PM",Lunch Ride,Ride,5384,5125.0,14851.400390625,9.233333587646480,2.897834062576290,428.8825378417970,1489.0,15.0
14665400367,"Dec 30, 2024, 10:40:38 PM",Afternoon Ride,Ride,7368,6892.0,20783.80078125,11.0,3.015641212463380,545.6360473632810,2390.0,16.0
14665400369,"Jan 3, 2025, 5:03:31 PM",Morning Ride,Ride,10333,9095.0,26761.599609375,8.633333206176760,2.9424519538879400,574.2645263671880,2908.0,15.0
14665400379,"Jan 9, 2025, 10:12:05 PM",Afternoon Ride,Ride,6204,6061.0,17303.900390625,10.119999885559100,2.8549578189849900,448.80548095703100,1686.0,21.0
14665400381,"Jan 4, 2025, 10:07:42 PM",Afternoon Ride,Ride,6365,5357.0,19820.099609375,11.260000228881800,3.699850559234620,589.4302368164060,1239.0,16.0
14665400386,"Dec 23, 2024, 6:30:29 PM",Morning Ride,Ride,12911,10729.0,33317.19921875,9.960000038146970,3.1053407192230200,702.8507080078130,3430.0,16.0
14665400516,"Dec 14, 2024, 8:58:31 PM",Lunch Ride,Ride,2527,2437.0,7218.0,7.659999847412110,2.9618382453918500,148.9679718017580,692.0,18.0
